2026-07-14 09:37: Experiment log path in: C:\Users\student\paperTest\DHFORMER\experiments\METRLA\20260714093719
2026-07-14 12:08: Train Epoch 6: 160/374 Loss: 4.342125
2026-07-14 12:09: Train Epoch 6: 180/374 Loss: 4.407940
2026-07-14 12:10: Train Epoch 6: 200/374 Loss: 6.382764
2026-07-14 12:12: Train Epoch 6: 220/374 Loss: 3.920161
2026-07-14 12:13: Train Epoch 6: 240/374 Loss: 4.951692
2026-07-14 12:14: Train Epoch 6: 260/374 Loss: 4.487635
2026-07-14 12:16: Train Epoch 6: 280/374 Loss: 5.536056
2026-07-14 12:17: Train Epoch 6: 300/374 Loss: 3.359605
2026-07-14 12:19: Train Epoch 6: 320/374 Loss: 4.276855
2026-07-14 12:20: Train Epoch 6: 340/374 Loss: 4.266729
2026-07-14 12:21: Train Epoch 6: 360/374 Loss: 4.553726
2026-07-14 12:22: **********Train Epoch 6: averaged Loss: 4.572027, tf_ratio: 1.000000
2026-07-14 12:23: **********Val Epoch 6: average Loss: 4.610914
2026-07-14 12:23: *********************************Current best model saved!
2026-07-14 12:23: Train Epoch 7: 0/374 Loss: 4.197956
2026-07-14 12:25: Train Epoch 7: 20/374 Loss: 4.517268
2026-07-14 12:26: Train Epoch 7: 40/374 Loss: 3.943136
2026-07-14 12:28: Train Epoch 7: 60/374 Loss: 3.445798
2026-07-14 12:29: Train Epoch 7: 80/374 Loss: 4.666909
2026-07-14 12:31: Train Epoch 7: 100/374 Loss: 4.608826
2026-07-14 12:32: Train Epoch 7: 120/374 Loss: 4.198033
2026-07-14 12:34: Train Epoch 7: 140/374 Loss: 3.806078
2026-07-14 12:35: Train Epoch 7: 160/374 Loss: 4.113750
2026-07-14 12:37: Train Epoch 7: 180/374 Loss: 6.147879
2026-07-14 12:38: Train Epoch 7: 200/374 Loss: 4.705477
2026-07-14 12:39: Train Epoch 7: 220/374 Loss: 5.189589
2026-07-14 12:41: Train Epoch 7: 240/374 Loss: 4.313754
2026-07-14 12:42: Train Epoch 7: 260/374 Loss: 3.999247
2026-07-14 12:43: Train Epoch 7: 280/374 Loss: 4.831334
2026-07-14 12:45: Train Epoch 7: 300/374 Loss: 4.670342
2026-07-14 12:46: Train Epoch 7: 320/374 Loss: 4.908511
2026-07-14 12:47: Train Epoch 7: 340/374 Loss: 4.580146
2026-07-14 12:49: Train Epoch 7: 360/374 Loss: 5.920820
2026-07-14 12:50: **********Train Epoch 7: averaged Loss: 4.561485, tf_ratio: 1.000000
2026-07-14 12:51: **********Val Epoch 7: average Loss: 4.628366
2026-07-14 12:51: Train Epoch 8: 0/374 Loss: 4.768603
2026-07-14 12:52: Train Epoch 8: 20/374 Loss: 4.092414
2026-07-14 12:53: Train Epoch 8: 40/374 Loss: 3.692099
2026-07-14 12:55: Train Epoch 8: 60/374 Loss: 4.764246
2026-07-14 12:56: Train Epoch 8: 80/374 Loss: 3.905156
2026-07-14 12:58: Train Epoch 8: 100/374 Loss: 4.266564
2026-07-14 12:59: Train Epoch 8: 120/374 Loss: 4.725842
2026-07-14 13:00: Train Epoch 8: 140/374 Loss: 3.652098
2026-07-14 13:02: Train Epoch 8: 160/374 Loss: 3.859507
2026-07-14 13:03: Train Epoch 8: 180/374 Loss: 4.925744
2026-07-14 13:04: Train Epoch 8: 200/374 Loss: 5.216201
2026-07-14 13:06: Train Epoch 8: 220/374 Loss: 5.168716
2026-07-14 13:07: Train Epoch 8: 240/374 Loss: 4.144394
2026-07-14 13:08: Train Epoch 8: 260/374 Loss: 3.937419
2026-07-14 13:10: Train Epoch 8: 280/374 Loss: 4.075472
2026-07-14 13:11: Train Epoch 8: 300/374 Loss: 4.735851
2026-07-14 13:12: Train Epoch 8: 320/374 Loss: 4.331134
2026-07-14 13:14: Train Epoch 8: 340/374 Loss: 4.101605
2026-07-14 13:15: Train Epoch 8: 360/374 Loss: 4.092989
2026-07-14 13:16: **********Train Epoch 8: averaged Loss: 4.552240, tf_ratio: 1.000000
2026-07-14 13:17: **********Val Epoch 8: average Loss: 4.599289
2026-07-14 13:17: *********************************Current best model saved!
2026-07-14 13:17: Train Epoch 9: 0/374 Loss: 3.728224
2026-07-14 13:18: Train Epoch 9: 20/374 Loss: 5.494226
2026-07-14 13:20: Train Epoch 9: 40/374 Loss: 4.787529
2026-07-14 13:21: Train Epoch 9: 60/374 Loss: 4.282876
2026-07-14 13:22: Train Epoch 9: 80/374 Loss: 5.420815
2026-07-14 13:24: Train Epoch 9: 100/374 Loss: 4.572965
2026-07-14 13:25: Train Epoch 9: 120/374 Loss: 4.411094
2026-07-14 13:26: Train Epoch 9: 140/374 Loss: 5.177947
2026-07-14 13:28: Train Epoch 9: 160/374 Loss: 4.059303
2026-07-14 13:29: Train Epoch 9: 180/374 Loss: 6.004390
2026-07-14 13:30: Train Epoch 9: 200/374 Loss: 4.306783
2026-07-14 13:32: Train Epoch 9: 220/374 Loss: 3.843594
2026-07-14 13:33: Train Epoch 9: 240/374 Loss: 3.754216
2026-07-14 13:34: Train Epoch 9: 260/374 Loss: 4.501924
2026-07-14 13:36: Train Epoch 9: 280/374 Loss: 4.331936
2026-07-14 13:37: Train Epoch 9: 300/374 Loss: 5.916999
2026-07-14 13:38: Train Epoch 9: 320/374 Loss: 5.335669
2026-07-14 13:40: Train Epoch 9: 340/374 Loss: 3.315389
2026-07-14 13:41: Train Epoch 9: 360/374 Loss: 4.940815
2026-07-14 13:42: **********Train Epoch 9: averaged Loss: 4.548954, tf_ratio: 1.000000
2026-07-14 13:43: **********Val Epoch 9: average Loss: 4.614744
2026-07-14 13:43: Train Epoch 10: 0/374 Loss: 4.591726
2026-07-14 13:44: Train Epoch 10: 20/374 Loss: 3.900158
2026-07-14 13:46: Train Epoch 10: 40/374 Loss: 5.666141
2026-07-14 13:47: Train Epoch 10: 60/374 Loss: 4.554973
2026-07-14 13:48: Train Epoch 10: 80/374 Loss: 5.059508
2026-07-14 13:50: Train Epoch 10: 100/374 Loss: 6.387678
2026-07-14 13:51: Train Epoch 10: 120/374 Loss: 4.047987
2026-07-14 13:52: Train Epoch 10: 140/374 Loss: 4.531993
2026-07-14 13:54: Train Epoch 10: 160/374 Loss: 4.005034
2026-07-14 13:55: Train Epoch 10: 180/374 Loss: 4.365800
2026-07-14 13:56: Train Epoch 10: 200/374 Loss: 4.261402
2026-07-14 13:58: Train Epoch 10: 220/374 Loss: 5.398057
2026-07-14 13:59: Train Epoch 10: 240/374 Loss: 3.784660
2026-07-14 14:00: Train Epoch 10: 260/374 Loss: 6.322686
2026-07-14 14:02: Train Epoch 10: 280/374 Loss: 4.828617
2026-07-14 14:03: Train Epoch 10: 300/374 Loss: 4.278109
2026-07-14 14:04: Train Epoch 10: 320/374 Loss: 4.159388
2026-07-14 14:06: Train Epoch 10: 340/374 Loss: 4.495338
2026-07-14 14:07: Train Epoch 10: 360/374 Loss: 5.384442
2026-07-14 14:08: **********Train Epoch 10: averaged Loss: 4.547558, tf_ratio: 1.000000
2026-07-14 14:09: **********Val Epoch 10: average Loss: 4.622369
2026-07-14 14:09: Train Epoch 11: 0/374 Loss: 5.974049
2026-07-14 14:10: Train Epoch 11: 20/374 Loss: 5.018912
2026-07-14 14:12: Train Epoch 11: 40/374 Loss: 3.382732
2026-07-14 14:13: Train Epoch 11: 60/374 Loss: 3.963232
2026-07-14 14:15: Train Epoch 11: 80/374 Loss: 3.832856
2026-07-14 14:17: Train Epoch 11: 100/374 Loss: 4.338881
2026-07-14 14:18: Train Epoch 11: 120/374 Loss: 4.490282
2026-07-14 14:20: Train Epoch 11: 140/374 Loss: 4.545630
2026-07-14 14:21: Train Epoch 11: 160/374 Loss: 4.449386
2026-07-14 14:23: Train Epoch 11: 180/374 Loss: 4.953440
2026-07-14 14:25: Train Epoch 11: 200/374 Loss: 4.390889
2026-07-14 14:26: Train Epoch 11: 220/374 Loss: 5.302355
2026-07-14 14:28: Train Epoch 11: 240/374 Loss: 4.726427
2026-07-14 14:29: Train Epoch 11: 260/374 Loss: 3.501506
2026-07-14 14:31: Train Epoch 11: 280/374 Loss: 5.238436
2026-07-14 14:32: Train Epoch 11: 300/374 Loss: 4.991424
