2026-07-18 09:31: Experiment log path in: C:\Users\samar\traffic-flow-predicition\AHF-STGCN\experiments\METRLA\20260718093150
2026-07-18 19:02: Train Epoch 7: 260/374 Loss: 0.240227
2026-07-18 19:04: Train Epoch 7: 280/374 Loss: 0.204120
2026-07-18 19:05: Train Epoch 7: 300/374 Loss: 0.253538
2026-07-18 19:06: Train Epoch 7: 320/374 Loss: 0.257799
2026-07-18 19:07: Train Epoch 7: 340/374 Loss: 0.205915
2026-07-18 19:09: Train Epoch 7: 360/374 Loss: 0.292022
2026-07-18 19:09: **********Train Epoch 7: averaged Loss: 0.224725, tf_ratio: 1.000000
2026-07-18 19:10: **********Val Epoch 7: average Loss: 0.226371
2026-07-18 19:10: *********************************Current best model saved!
2026-07-18 19:10: Train Epoch 8: 0/374 Loss: 0.170450
2026-07-18 19:12: Train Epoch 8: 20/374 Loss: 0.178847
2026-07-18 19:13: Train Epoch 8: 40/374 Loss: 0.206927
2026-07-18 19:14: Train Epoch 8: 60/374 Loss: 0.221083
2026-07-18 19:16: Train Epoch 8: 80/374 Loss: 0.219173
2026-07-18 19:17: Train Epoch 8: 100/374 Loss: 0.192616
2026-07-18 19:18: Train Epoch 8: 120/374 Loss: 0.168012
2026-07-18 19:19: Train Epoch 8: 140/374 Loss: 0.205168
2026-07-18 19:21: Train Epoch 8: 160/374 Loss: 0.223772
2026-07-18 19:22: Train Epoch 8: 180/374 Loss: 0.250409
2026-07-18 19:23: Train Epoch 8: 200/374 Loss: 0.155954
2026-07-18 19:24: Train Epoch 8: 220/374 Loss: 0.180277
2026-07-18 19:26: Train Epoch 8: 240/374 Loss: 0.220694
2026-07-18 19:27: Train Epoch 8: 260/374 Loss: 0.216992
2026-07-18 19:28: Train Epoch 8: 280/374 Loss: 0.226907
2026-07-18 19:29: Train Epoch 8: 300/374 Loss: 0.227132
2026-07-18 19:31: Train Epoch 8: 320/374 Loss: 0.212437
2026-07-18 19:32: Train Epoch 8: 340/374 Loss: 0.237626
2026-07-18 19:34: Train Epoch 8: 360/374 Loss: 0.256617
2026-07-18 19:35: **********Train Epoch 8: averaged Loss: 0.224246, tf_ratio: 1.000000
2026-07-18 19:36: **********Val Epoch 8: average Loss: 0.225537
2026-07-18 19:36: *********************************Current best model saved!
2026-07-18 19:36: Train Epoch 9: 0/374 Loss: 0.232282
2026-07-18 19:38: Train Epoch 9: 20/374 Loss: 0.275891
2026-07-18 19:40: Train Epoch 9: 40/374 Loss: 0.214509
2026-07-18 19:42: Train Epoch 9: 60/374 Loss: 0.182428
2026-07-18 19:43: Train Epoch 9: 80/374 Loss: 0.210547
2026-07-18 19:45: Train Epoch 9: 100/374 Loss: 0.197125
2026-07-18 19:47: Train Epoch 9: 120/374 Loss: 0.210565
2026-07-18 19:48: Train Epoch 9: 140/374 Loss: 0.245065
2026-07-18 19:50: Train Epoch 9: 160/374 Loss: 0.207281
2026-07-18 19:52: Train Epoch 9: 180/374 Loss: 0.245538
2026-07-18 19:53: Train Epoch 9: 200/374 Loss: 0.199108
2026-07-18 19:55: Train Epoch 9: 220/374 Loss: 0.185219
