2026-07-12 21:55: Experiment log path in: C:\Users\samar\traffic-flow-predicition\AHF-STGCN\experiments\METRLA\20260712215506
2026-07-12 23:46: **********Val Epoch 6: average Loss: 4.585611
2026-07-12 23:46: *********************************Current best model saved!
2026-07-12 23:46: Train Epoch 7: 0/374 Loss: 5.418422
2026-07-12 23:47: Train Epoch 7: 20/374 Loss: 4.737863
2026-07-12 23:48: Train Epoch 7: 40/374 Loss: 3.616285
2026-07-12 23:49: Train Epoch 7: 60/374 Loss: 3.281086
2026-07-12 23:50: Train Epoch 7: 80/374 Loss: 5.096179
2026-07-12 23:51: Train Epoch 7: 100/374 Loss: 3.678082
2026-07-12 23:52: Train Epoch 7: 120/374 Loss: 5.559705
2026-07-12 23:53: Train Epoch 7: 140/374 Loss: 5.507832
2026-07-12 23:54: Train Epoch 7: 160/374 Loss: 3.715796
2026-07-12 23:55: Train Epoch 7: 180/374 Loss: 3.816506
2026-07-12 23:56: Train Epoch 7: 200/374 Loss: 4.090797
2026-07-12 23:57: Train Epoch 7: 220/374 Loss: 5.242791
2026-07-12 23:58: Train Epoch 7: 240/374 Loss: 5.096820
2026-07-12 23:59: Train Epoch 7: 260/374 Loss: 4.043901
2026-07-13 00:00: Train Epoch 7: 280/374 Loss: 4.318757
2026-07-13 00:01: Train Epoch 7: 300/374 Loss: 5.364856
2026-07-13 00:02: Train Epoch 7: 320/374 Loss: 4.365213
2026-07-13 00:03: Train Epoch 7: 340/374 Loss: 5.742620
2026-07-13 00:04: Train Epoch 7: 360/374 Loss: 4.563012
2026-07-13 00:05: **********Train Epoch 7: averaged Loss: 4.543581, tf_ratio: 1.000000
2026-07-13 00:05: **********Val Epoch 7: average Loss: 4.586844
2026-07-13 00:05: Train Epoch 8: 0/374 Loss: 3.515068
2026-07-13 00:07: Train Epoch 8: 20/374 Loss: 5.237589
2026-07-13 00:08: Train Epoch 8: 40/374 Loss: 3.917921
2026-07-13 00:09: Train Epoch 8: 60/374 Loss: 4.808563
2026-07-13 00:10: Train Epoch 8: 80/374 Loss: 3.513498
2026-07-13 00:11: Train Epoch 8: 100/374 Loss: 3.744917
2026-07-13 00:12: Train Epoch 8: 120/374 Loss: 4.320645
2026-07-13 00:13: Train Epoch 8: 140/374 Loss: 5.740882
2026-07-13 00:14: Train Epoch 8: 160/374 Loss: 4.513678
2026-07-13 00:15: Train Epoch 8: 180/374 Loss: 4.679814
2026-07-13 00:16: Train Epoch 8: 200/374 Loss: 3.920414
2026-07-13 00:17: Train Epoch 8: 220/374 Loss: 3.650690
2026-07-13 00:18: Train Epoch 8: 240/374 Loss: 5.113943
2026-07-13 00:19: Train Epoch 8: 260/374 Loss: 4.546252
2026-07-13 00:20: Train Epoch 8: 280/374 Loss: 4.974020
2026-07-13 00:21: Train Epoch 8: 300/374 Loss: 5.187778
2026-07-13 00:22: Train Epoch 8: 320/374 Loss: 3.819716
2026-07-13 00:23: Train Epoch 8: 340/374 Loss: 4.911482
2026-07-13 00:24: Train Epoch 8: 360/374 Loss: 4.748612
2026-07-13 00:25: **********Train Epoch 8: averaged Loss: 4.538133, tf_ratio: 1.000000
2026-07-13 00:25: **********Val Epoch 8: average Loss: 4.577886
2026-07-13 00:25: *********************************Current best model saved!
2026-07-13 00:25: Train Epoch 9: 0/374 Loss: 6.485545
2026-07-13 00:27: Train Epoch 9: 20/374 Loss: 3.923270
2026-07-13 00:28: Train Epoch 9: 40/374 Loss: 6.239559
2026-07-13 00:30: Train Epoch 9: 60/374 Loss: 4.310425
2026-07-13 00:32: Train Epoch 9: 80/374 Loss: 4.156263
2026-07-13 00:34: Train Epoch 9: 100/374 Loss: 3.596780
2026-07-13 00:36: Train Epoch 9: 120/374 Loss: 4.309866
2026-07-13 00:38: Train Epoch 9: 140/374 Loss: 3.508884
2026-07-13 00:39: Train Epoch 9: 160/374 Loss: 4.378456
2026-07-13 00:41: Train Epoch 9: 180/374 Loss: 5.545264
2026-07-13 00:43: Train Epoch 9: 200/374 Loss: 4.499621
2026-07-13 00:45: Train Epoch 9: 220/374 Loss: 5.228076
2026-07-13 00:47: Train Epoch 9: 240/374 Loss: 4.483165
2026-07-13 00:48: Train Epoch 9: 260/374 Loss: 4.248037
2026-07-13 00:50: Train Epoch 9: 280/374 Loss: 4.275267
2026-07-13 00:52: Train Epoch 9: 300/374 Loss: 5.044270
2026-07-13 00:54: Train Epoch 9: 320/374 Loss: 3.964241
2026-07-13 00:56: Train Epoch 9: 340/374 Loss: 4.922174
2026-07-13 00:57: Train Epoch 9: 360/374 Loss: 4.429954
2026-07-13 00:59: **********Train Epoch 9: averaged Loss: 4.525040, tf_ratio: 1.000000
2026-07-13 01:00: **********Val Epoch 9: average Loss: 4.606849
2026-07-13 01:00: Train Epoch 10: 0/374 Loss: 4.568209
2026-07-13 01:02: Train Epoch 10: 20/374 Loss: 3.646622
2026-07-13 01:04: Train Epoch 10: 40/374 Loss: 5.241061
2026-07-13 01:05: Train Epoch 10: 60/374 Loss: 4.276272
2026-07-13 01:07: Train Epoch 10: 80/374 Loss: 4.073852
2026-07-13 01:09: Train Epoch 10: 100/374 Loss: 4.885689
2026-07-13 01:11: Train Epoch 10: 120/374 Loss: 5.192971
2026-07-13 01:13: Train Epoch 10: 140/374 Loss: 5.172426
2026-07-13 01:15: Train Epoch 10: 160/374 Loss: 3.972058
2026-07-13 01:17: Train Epoch 10: 180/374 Loss: 3.814066
2026-07-13 01:18: Train Epoch 10: 200/374 Loss: 4.528297
2026-07-13 01:20: Train Epoch 10: 220/374 Loss: 4.491960
2026-07-13 01:22: Train Epoch 10: 240/374 Loss: 4.136364
2026-07-13 01:24: Train Epoch 10: 260/374 Loss: 3.670909
2026-07-13 01:26: Train Epoch 10: 280/374 Loss: 4.345425
2026-07-13 01:28: Train Epoch 10: 300/374 Loss: 3.929117
2026-07-13 01:30: Train Epoch 10: 320/374 Loss: 5.815920
